Sigma,Fault,Seed,Recovery_min,InRange_%,Settling_min,Settled_4h
1,14,104,50.99999999999998,5.0,,0
2,14,104,5.999999999999979,15.0,,0
3,14,104,5.999999999999979,17.5,,0
1,14,105,20.99999999999998,2.5,,0
2,14,105,18.000000000000043,7.5,,0
3,14,105,3.0000000000000426,12.5,,0
1,14,106,110.99999999999997,5.0,,0
2,14,106,41.99999999999996,10.0,,0
3,14,106,9.000000000000021,12.5,,0
1,14,107,33.00000000000004,2.5,,0
2,14,107,33.00000000000004,7.5,,0
3,14,107,3.0000000000000426,15.0,,0
1,14,108,3.0000000000000426,10.0,,0
2,14,108,3.0000000000000426,17.5,,0
3,14,108,3.0000000000000426,20.0,,0
1,14,109,11.999999999999957,10.0,,0
2,14,109,11.999999999999957,10.0,,0
3,14,109,11.999999999999957,15.0,,0
1,14,110,15.0,5.0,,0
2,14,110,15.0,7.5,,0
3,14,110,15.0,10.0,,0
1,14,111,65.99999999999997,5.0,,0
2,14,111,65.99999999999997,7.5,,0
3,14,111,65.99999999999997,7.5,,0
1,14,112,11.999999999999957,10.0,,0
2,14,112,11.999999999999957,12.5,,0
3,14,112,3.0000000000000426,15.0,,0
1,14,113,3.0000000000000426,10.0,,0
2,14,113,3.0000000000000426,15.0,,0
3,14,113,3.0000000000000426,22.5,,0
1,14,114,153.00000000000006,0.0,,0
2,14,114,24.00000000000002,7.5,,0
3,14,114,5.999999999999979,12.5,,0
1,14,115,80.99999999999997,2.5,,0
2,14,115,80.99999999999997,5.0,,0
3,14,115,80.99999999999997,5.0,,0
1,14,116,39.00000000000002,5.0,,0
2,14,116,39.00000000000002,7.5,,0
3,14,116,39.00000000000002,10.0,,0
1,14,117,183.00000000000006,0.0,,0
2,14,117,20.99999999999998,5.0,,0
3,14,117,20.99999999999998,10.0,,0
1,14,118,5.999999999999979,7.5,,0
2,14,118,5.999999999999979,12.5,,0
3,14,118,3.0000000000000426,20.0,,0
1,14,119,3.0000000000000426,2.5,,0
2,14,119,3.0000000000000426,12.5,,0
3,14,119,3.0000000000000426,15.0,,0
1,14,120,5.999999999999979,5.0,,0
2,14,120,5.999999999999979,10.0,,0
3,14,120,3.0000000000000426,17.5,,0
1,14,121,15.0,10.0,,0
2,14,121,15.0,10.0,,0
3,14,121,15.0,12.5,,0
1,14,122,225.0,2.5,,0
2,14,122,3.0000000000000426,10.0,,0
3,14,122,3.0000000000000426,12.5,,0
1,14,123,24.00000000000002,2.5,,0
2,14,123,24.00000000000002,5.0,,0
3,14,123,24.00000000000002,10.0,,0
1,14,124,69.00000000000003,5.0,,0
2,14,124,69.00000000000003,7.5,,0
3,14,124,3.0000000000000426,20.0,,0
1,14,125,78.00000000000004,5.0,,0
2,14,125,78.00000000000004,7.5,,0
3,14,125,3.0000000000000426,15.0,,0
1,14,126,125.99999999999997,2.5,,0
2,14,126,63.00000000000004,7.5,,0
3,14,126,3.0000000000000426,12.5,,0
1,14,127,155.99999999999997,0.0,,0
2,14,127,93.00000000000004,5.0,,0
3,14,127,3.0000000000000426,12.5,,0
1,14,128,63.00000000000004,5.0,,0
2,14,128,5.999999999999979,10.0,,0
3,14,128,5.999999999999979,10.0,,0
1,14,129,3.0000000000000426,10.0,,0
2,14,129,3.0000000000000426,15.0,,0
3,14,129,3.0000000000000426,15.0,,0
1,14,130,24.00000000000002,5.0,,0
2,14,130,3.0000000000000426,12.5,,0
3,14,130,3.0000000000000426,12.5,,0
